Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N10.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N11.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N12.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N13.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N14.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N15.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N16.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N17.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N18.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N19.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N20.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N21.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N22.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N23.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N24.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N25.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N26.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N27.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N28.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N29.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N30.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N31.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N32.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N33.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N34.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N35.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N36.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N37.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N38.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N39.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N40.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N41.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N42.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N43.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P10.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P11.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P12.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P13.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P14.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P15.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P16.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P17.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P18.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P19.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P20.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P21.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P22.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P23.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P24.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P25.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P26.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P27.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P28.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P29.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P30.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P31.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P32.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P33.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P34.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P35.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P36.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P37.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P38.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P39.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P40.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P41.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P42.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P43.mzML
P46779	P46779	RL28_HUMAN	RPL28	60S ribosomal protein L28										20036.7		16617	33891.2	39524.6	54824.3	39902.6	38683.1				45281.3	47055.9	46004.2	44842.4	80275.2	67376.9	80616.9	85400	126878	330116	598307	344373																	78556.2	41190.2	45837.6					31786.5	37669.2		74804.2	73563.6	55948	91619.9	129757	317417	409600	160703		
P46781	P46781	RS9_HUMAN	RPS9	40S ribosomal protein S9					44410.6								41819.2				8808.46				25234.3	34355.6	53932.4	82369.8	96561.6	155532	147950	139395	55646.8	180824																	1.12545e+06		313762	189178	10638.6					41610.3	39411.4		73288.6	97145.8	98304.7	103243	85226.7	97371.7			80587.6	
P46782	P46782	RS5_HUMAN	RPS5	40S ribosomal protein S5										19198.8			12747.3	11064.2		16254.4	13952.6			34086.3	6324.5	8727.23	9785.85	28350.8	18596.4	33016.9		40994.1	126680	121474	66977													15217.1		20679.9				16321.2										31085.2	40636.4	89989.7	104119	76078.6				
P46783	P46783	RS10_HUMAN	RPS10	40S ribosomal protein S10		239944	390264	728245	645065	836165	853348	620839	396182	165680	315888	424250	106479	68516.9	41072.8	54636	37732.9	65133.3	37591.2	87028.3	32369.6	36365.9	37834.6	37621.3	60021.6	43816.2	40025.1	162180	1.98509e+06	1.01121e+06	804768	493806	129377			616416	866998	1.22734e+06	669836	607258	180034	225583	173476	90600.5	219987	207616	80724.6	36245.2	29908.8	46987.4	40218.5					15989.6			29417.6	76268.1	60610	186594	1.75616e+06	1.1112e+06	1.40758e+06	213848	114934	238169
P46926	P46926;Q8TDQ7	GNPI1_HUMAN	GNPDA1	Glucosamine-6-phosphate isomerase 1		100461	60216.8					124405	396054	632433	214860	97723.5	30429.5	15060	13567							5329.3									799248					51252.8						97280.5	248853	170124	131844	109278	16980.7	11633.5	9707.67																			
P46934	P46934	NEDD4_HUMAN	NEDD4	E3 ubiquitin-protein ligase NEDD4																		6074.07		37572.5	18431	17681.3	25340.2	27349.3	58125.2	41817.8	38342.1	50213.2	44609.2	21996.6																					23988.8					22629	25950.4		35279.3	41272.9	22837.1	61459.2	32711.3					
P46937	P46937	YAP1_HUMAN	YAP1	Transcriptional coactivator YAP1		108097	79518.3	91411.3	66083.1	125371	148764	167072	130095	48982.7	30700.5	26506.5	15487.6	10987.8				13519		26016.5	9445		11622.4		8282.02	14618										93227.3						131568	172218		30819.6	48700.2		10377.9						10030.9						10524.2								
P46940	P46940	IQGA1_HUMAN	IQGAP1	Ras GTPase-activating-like protein IQGAP1													17425.3		12108.5			21343.5	40362.6	18950.7	16555.5	20265.1	14893.6	25470	20809	27464.6	23664.2	50963.3	71566.6	148270	347143	325849																			11700.6					29828.4			21534.1		35327.9	44901.9	71539.6	149028	183292	101031		
P46976	P46976	GLYG_HUMAN	GYG1	Glycogenin-1	2.91054e+06	97976.2	66899.9																							30382.4									2.08525e+06	335143	223333																															
P47224	P47224	MSS4_HUMAN	RABIF	Guanine nucleotide exchange factor MSS4													101013	62468.7	33245.2																															88097.9	145644	60741.6	42174.5															16672.6	32494.7			
P47755	P47755	CAZA2_HUMAN	CAPZA2	F-actin-capping protein subunit alpha-2					489587	1.25205e+06				161694		11959	7376.26	8440.84	11446.9	27720.1	139451	54118.7	77343.8	49630.5	24021.3	18244.1	14462.1	16305.1	13496.3	22160.5		142246			1.33205e+06						3.63165e+06	1.74069e+06										6848.2	16792	22696.3	111372		48734.6	24862.9		15052.7	16741.7		17024.4						861094		363091	1.45668e+06
P47756	P47756	CAPZB_HUMAN	CAPZB	F-actin-capping protein subunit beta										13778	89357.2	99890.4	67871.4	90833.8	140044	503525	967672	579230	469881	256081	243762	209000	180145	176824	199550	178342	159398	162547	200825	196043		166639	379864	384817												89874.9	45071.1	102834	151791	357891	926426	551459	546709	271391		243823	194414		163307	155385	163675	148634	222869	199498		279994	166291	
P47813	P47813;O14602	IF1AX_HUMAN	EIF1AX	Eukaryotic translation initiation factor 1A, X-chromosomal																							4638.62					22348.1	45101	174098	167249																													9437.58	22829	68137.4	123369	255535	194332			
P47897	P47897	SYQ_HUMAN	QARS1	Glutamine--tRNA ligase										34427.8	43868.3	205578	185607	92005.3	73714.1	94424.5	94794.1	134472	101257	45322.3	67182.7	55692.2	72643.1	78675.7	87332	108089	72112.1	62596	60008.9	81678.7	52246.5		108428	312599										20622.8	41490.2	290101	288192	129343	94592.4	69704.6	76869.7		79355.5	52502.2		54235.3	64842.5	344349	73064.8	71232.8	73977.5	60664.7	96823.7		126705		142055	136337
P47914	P47914	RL29_HUMAN	RPL29	60S ribosomal protein L29		45975.9	115810	261893	460364	636130	620107	510417	176315	60601.2	51044.3	218973	127089	74795.8	50903.3	129918	94758.7	89951.7	327083	399379	169009	201525	274580	322454	386777	329149	646078	1.55023e+06	2.73981e+06	5.3414e+06	7.31687e+06	5.25577e+06	240663	125006		77912	91983.4		111381	213075	141388	142295	58709.5	46962.3		165151	140602	92123.4	60617.8	234763	83634	72085.6	89017.9	107522		156680	134430		265730	454095	428819	1.2296e+06	2.9084e+06	4.38036e+06	6.15376e+06	2.09976e+06	154523	110506
P47929	P47929	LEG7_HUMAN	LGALS7B	Galectin-7					169630	77471.9	39459	78473.2		22680.9																							110987	205132	275015		160178	225741	210876	163802	361753	100891			17187														52021.9									828922
P47985	P47985;P0C7P4	UCRI_HUMAN	UQCRFS1	Cytochrome b-c1 complex subunit Rieske, mitochondrial		282086	486150	439476	475248	403585	362397	169419	77952.2	60142.5	48889.6		32966.1	35915.6	44477.4	25981.6											20525.6	26866.6								369972	500362	739372	726872	453304	884336	393795	174055	119038	40973.3	40506.1		52164.2	54283.4	36128.2										72611.2							84392.6	
P48047	P48047	ATPO_HUMAN	ATP5PO	ATP synthase subunit O, mitochondrial												4347.66	10860.3			2485.7	6203.06		21241.6	23282	7820.34	12068.1	15333.6	18148.9	13949.2	19453.8	23143.7	42110.6	20316.9																					2997.46										19194	14315.5	59346.5	27131.3				63086.2	
P48059	P48059	LIMS1_HUMAN	LIMS1	LIM and senescent cell antigen-like-containing domain protein 1																8828.02	31177.2	50815.8	40831.6	18703.2	7036.77	14958.6	7742.74		9854.82	8935.84		11875.2																							30742.8	31282.1										4900.54						
P48147	P48147	PPCE_HUMAN	PREP	Prolyl endopeptidase										30369.1	106369	148407	80432.7	43054.3	45515.9	27356.4	23346.4	15919.6	19539.4		11911.3	10405.8	13806.6		17166.8	19352																			82423.8	169815	66207.9	58037.7	36968.7	43550.7	29453					16642.9	94644.9		15865.3		13110.2							
P48163	P48163	MAOX_HUMAN	ME1	NADP-dependent malic enzyme									205916	656049	915650	695013	227763	79503.5	63015.9	25373.2	16007.4	11707.5	9930.38		7687.8					23743					554943												214356	330440	721720	997726	227812	117660	63427.1	24818.2	17949											15287.5						
P48426	P48426	PI42A_HUMAN	PIP4K2A	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha				133442							294283	34597.2							7657.86		20299.4	42266.1	41912.7	67081.9	90206.7	135401	176029	473951	953147	3.50564e+06	4.25095e+06	1.1076e+06																	128273	9231.54				4564.99		42524.4	67058.5		103442	115286	175068	388005	670726	2.98894e+06	4.17045e+06	491545	96129.6	
P48431	P41225;P48431;O00570	SOX2_HUMAN	SOX2	Transcription factor SOX-2		189813	134865	102080	56339.3		137343	51632.1	31259.9	28499.3	33481.5	16196.9	9943.94	7903.74			8629.89				36012	4859.1	4054.01	19097.7	10305.3	25643.6	12241.4	35035.7	42712																	21289.8		10982.5		8409.77										10802.3	12850.8	21437.4	42368.8					
P48436	P48436	SOX9_HUMAN	SOX9	Transcription factor SOX-9													23665.9	17220.9	14717.3		11050.3			11285.4	6035.13	6639.64	10525.9	9859.56																								9478.07																				
P48444	P48444	COPD_HUMAN	ARCN1	Coatomer subunit delta										16950.8	28775.7	16912.7	17072.3	22470.5	33556.1	39235.5	28235.9	42269	214026	84813.9	84311.7	55165.4	25123.1	23049.5	36750.9	28749.1	65689.1	101128	80717.4	109606														28957.5		19635.7	25112.7	35068.9	56412.1	34937.1	19171	57821.2	171864	110840		46935.2	28953.8		32480.3	56929.5	69137.1	66786.4	79845.1	129046				
P48454	P48454	PP2BC_HUMAN	PPP3CC	Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform																10152.7		13517.4	12361	31784.6	16509.1	22575.7	31295.2	28950.1	28145.5	23285	16304.4	19559.8			594776			75607.7																12646.5	31244.6			32890.8		32554.2	32202.9		43569.5	64686.6	22410.7							
P48506	P48506	GSH1_HUMAN	GCLC	Glutamate--cysteine ligase catalytic subunit								35159.1	127079	1.91156e+06	4.42363e+06	3.30609e+06	1.28576e+06	527606	333815	140253	94381.2	79608.4	72219.3	62631.6	60125.1	42644.9	41323.1	30564.8	47464.2	56736.1	77468.2	75315.2	120322	64876		107732	187415	252646									86194.3	1.6167e+06	2.29993e+06	3.98237e+06	1.32178e+06	648301	336635	161031	105620			38132.7		49474.9	38656.6		29677.6	76137.5	75886.5	111428	135351	125876		64865.1	169615	
P48507	P48507	GSH0_HUMAN	GCLM	Glutamate--cysteine ligase regulatory subunit										16152	21896.9	248417	216996	94161.2	46079.5	38322.7	30218.2	14970.2	12199.8	23898.6	11068.1	8169.94				9695.46		19012.4																	37792.8	210435	279127	131439	55116.9	41006.5	34139.3																	
P48553	P48553	TPC10_HUMAN	TRAPPC10	Trafficking protein particle complex subunit 10																	11329.7	34969.9	65849.2	44018.5	37509.1	35946.2	29504.4	25037.6	34373.3	29067.7	20791.2	13164.8	19099.8																						14028		44916.1	28495.4		30080.2	24880.5		30421	24405.4	15937.1	31470						
P48634	P48634	PRC2A_HUMAN	PRRC2A	Protein PRRC2A		128757	143871		137074	169669	135958	73519.3	37152.4	78356.9	77418.4	46529.2	39044.9	36981.7	51019.9	79219.2	49283.8	43196.9	83538.2	179184	89203.1	74600.2	73222.5	77734.2	69600.3	74695.1	96793	114988	199995	283020	267403	117242					193140	294873	115799			45503.9				56957.8	27895.5	14392.7	67676.6	91089.9	45735	73469.6	120498	29962.5		77830.1	54831.6		64995.2	86921.7	108178	136739	169342	291094	253714	131785		
P48637	P48637	GSHB_HUMAN	GSS	Glutathione synthetase											85968.9	112960	36628.7																															40658.6	71053.5	171045	21425.1	5330.73						87656.6														
P48643	P48643	TCPE_HUMAN	CCT5	T-complex protein 1 subunit epsilon	1.21347e+06	109745	672372		119243	142042	276365	89135.1	80560	65196.7	113952	136304	436128	1.15904e+06	861251	548756	536296	506330	1.40845e+06	2.25165e+06	7.6696e+06	8.34984e+06	7.77179e+06	7.90821e+06	8.01021e+06	8.7334e+06	7.02082e+06	4.43372e+06	2.91821e+06	1.64922e+06	2.84329e+06	1.32914e+06	2.02615e+06	3.88633e+06			111298	203306		693136		89963.6		34361.8	94416.5	61508	160878	951509	930863	376631	359387	260060	643036	3.00217e+06	1.16345e+08	7.40347e+06	8.27499e+06	1.16293e+07	8.08226e+06	5.0224e+06	6.23796e+06	3.05287e+06	2.43631e+06	2.44668e+06	2.72156e+06	1.5811e+06	1.91886e+06	2.27056e+06
P48729	P48729;Q8N752	KC1A_HUMAN	CSNK1A1	Casein kinase I isoform alpha																					5575.37	14872.8	19911.1	29105.2	59144.8	97853.7	138778	516355	163534	112723	45977.9																									22272.1			58577	30543.5	104807	232581	277482	35425.6	906797			
P48730	P48730;P49674	KC1D_HUMAN	CSNK1D	Casein kinase I isoform delta		364046	656654	457068	382587	213746	80133.2	89534.7	44378.6	67606.1	122247	117020	76216.8	84281.6	79649.7	88792	71543.4	32583.1	36151.6	63767.5	36110.6	45245.9	99219.5	134852	226793	419652	657836	319123	109583	388367	411373	152618	209976	246116		550088	893279	396800				58283.9	28317.7	48763.3	62263.5	92947.9	46498.3	64978.2	59834.5	116580	71128	40970.6	27120.1	24325.5		52265.6	109171	1.13511e+06	314657	312122	466762	186326	244282	123377		115587	63505.5	
P48735	P48735	IDHP_HUMAN	IDH2	Isocitrate dehydrogenase [NADP], mitochondrial												9473.43	36532.2	73228.8								9253.51																									14185	87921.6	11767.3																			
P49005	P49005	DPOD2_HUMAN	POLD2	DNA polymerase delta subunit 2																		7757.08		22534.8	19377.4	21483.1	37692.1	45882.1	42787.4	37467	31827.6	34827.9																34117.9												14212.4	29124.7		46742.2	51259.4	37633.7	29164.3	19110.8					
P49006	P49006	MRP_HUMAN	MARCKSL1	MARCKS-related protein													24269	19701.1	11358.5	14671.3	25908.2	50722.7	74312.3	52762.8	37255.1	28556.9	41003.4	30890.9			14769.9	16424.4																		14865.6		5381.78		16152.3	34663.8	59826.4	59214.1	32539.7		23651.5	25921.6											
P49023	P49023	PAXI_HUMAN	PXN	Paxillin														13864.6	16539.4	6213.12	4009.67	6361.35	6476.49			4947.81		3393.81																								9952.9			5756.1																	
P49137	P49137	MAPK2_HUMAN	MAPKAPK2	MAP kinase-activated protein kinase 2	3.98782e+06									29837.2	96889.2	15731.8	27819.5	37759.2	54679	100701	37177.8	27272.3	42862.9	28806.4	17008.5	12878.8	11588.9	12362.5	18808	5987.48	19715.5																			25807.2	29085.9	46243.7	49881.6	51018.8	29503.9	24028.5	55680.1	17129.5		59984.4												
P49189	P49189	AL9A1_HUMAN	ALDH9A1	4-trimethylaminobutyraldehyde dehydrogenase										16744.7	78824.3	102650	51324	31144.7	26876.3	19518.5	18216.7	8239.56			3117.91										211405						627833							35855.2	106149	179390	55784.1	39535.8	36707.6	13101.3	26830.3																21536.2	
P49207	P49207	RL34_HUMAN	RPL34	60S ribosomal protein L34													17695.5								3950.26		14438.3	23434.9	21941.6	29612.5	24758.9	41766.9	79286.6	222100	214550	144628																									26778.4		45714.4	37375.9	31949	62681.4	80955.5	198375	240543	144362		
P49247	P49247	RPIA_HUMAN	RPIA	Ribose-5-phosphate isomerase								157792	139437	171931	368955	395152	340023	331898	156425	64897.5	29618.9	27164.5	29117.1	68743.5	25903.8	18819.9	19247.8	14344.2	108921	25651.3	15550.6	60702														148834	140667	179501	200742	365859	323426	280738	169279	56582.2	34046.2			39377.6		19225.9	24910.1	396069			8290.59							
P49257	P49257	LMAN1_HUMAN	LMAN1	Protein ERGIC-53		60292.1							43684.2	315497	586486	147557	42468.9	45677.9	33995.4	29681.9	22747.1	20134.9	38751.2	27599.6	26034.5	32955.9	34374.3	63680.2	55566.1	94644.6	88328.2	74813.1	76638.6																22362.5	28707.6	14232		24919.2	50606.5	23621.6			33788.7		37649.9	40818.7		65656.7	65891.6	67607	29556.4	68417.4		21772.3			
P49321	P49321	NASP_HUMAN	NASP	Nuclear autoantigenic sperm protein		580849											26203.3				13975	9344.83		16664.7		13439.7	16262.5	10487.7	52975.9	69647	196418	140145	71496.1	206085																													40959.9	121542	335010	168922	123546		521098		82799	
P49327	P49327	FAS_HUMAN	FASN	Fatty acid synthase		401518	213605	179008	296634	365216	282995	258117	174097	121886	161853	98294.7	3.3395e+06	9.60312e+06	6.23076e+06	3.98534e+06	2.08908e+06	1.71758e+06	1.33275e+06	600745	927856	850620	938820	900349	1.0155e+06	1.08248e+06	728475	649485	625443	535740	1.10918e+06	754231	936175	676932	1.12888e+06	393473	946160							52651.1	90754.7	88570.9	1.6854e+06	7.11693e+06	5.27287e+06	1.97689e+06	1.44843e+06	454146	901681	654346		622071	523433	2.39458e+06	740906	479163	616913	381044	453637	888647	1.22088e+06	1.26545e+06	499135	536335
P49336	P49336	CDK8_HUMAN	CDK8	Cyclin-dependent kinase 8																	20365	25127.3	23304.3	22509.5	21485.7	25939.1	23812.2	30816.8		43309.7	32899.7		101950																					15909.5	20730.5																	
P49354	P49354	FNTA_HUMAN	FNTA	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha																	22040.5	25111.4	29502.8		29195.3	29723.3	28788	28082	24728	18183.6		17597.9																										32960.2		34061.3	37452		22709									
P49356	P49356	FNTB_HUMAN	FNTB	Protein farnesyltransferase subunit beta																			9416.32		17449.7	21543.8	22129.7	17176.5	20018.9																															12339.1	22037.3		12514.5		13308							
P49366	P49366	DHYS_HUMAN	DHPS	Deoxyhypusine synthase																			4538.94		16944.2	22772.8	43576	58135.8	62566.4	56112.1	94827.5	113834	55878.6	78926.2																										30949.1	43628.9		57314.6	57791.1	68518.7	80625.9	57891.9	57367.5				
P49368	P49368	TCPG_HUMAN	CCT3	T-complex protein 1 subunit gamma	1.64246e+06	141433	727101	90715.8	83015.4	122274	235812	75899.7	37308.2	56844.6	100961	41107.4	53449.2	48092.2	112314	186313	343881	607019	1.61192e+06	4.19007e+06	8.00083e+06	8.47372e+06	9.06489e+06	8.89876e+06	9.1435e+06	1.01274e+07	9.81528e+06	7.02797e+06	5.4792e+06	2.505e+06	3.24711e+06	2.24167e+06	2.40646e+06	4.36309e+06	336649	103398	163374	233987		1.32368e+06		168841	53571	77276.9	108117	29330.7	28663.9	100202	51910.1	104729	214078	198071	658288	3.76697e+06	2.13138e+08	7.71424e+06	9.17615e+06	5.89049e+06	8.52373e+06	8.09225e+06	7.81205e+06	5.88583e+06	4.8952e+06	3.08332e+06	3.3812e+06	1.91885e+06	3.0181e+06	2.7752e+06
P49406	P49406	RM19_HUMAN	MRPL19	39S ribosomal protein L19, mitochondrial										8350.14	15932.7	8815.29	5397.3				5290.12	31442.9	48517.2	77941.5	13021.7							15772.5			44071.1															12373.9				4825.68	8729.37		25084.7			12366.4				27377.7		20118.5						
P49411	P49411	EFTU_HUMAN	TUFM	Elongation factor Tu, mitochondrial		208190	395642	561461	413765	488182	392605	313764	161127	163736	234122	357308	580739	903530	620390	631111	635701	531841	613142	548384	638292	625960	643650	601040	675093	676300	775662	833478	702029	440286	568527	1.22204e+06	1.52219e+06	881038		235416	317285	431525	1.26229e+06	420709	470822	185519	300168	174006	187068	415637	482456	557242	506621	557688	582852	332275	451311	479558		475234	487199	1.33641e+06	540205	706943	583872	757737	544301	589480	632592	846972	1.61035e+06	1.23316e+06
P49419	P49419	AL7A1_HUMAN	ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase		121662	182245	139435	74750.8	60540.8	41744.3			16513.9		11044.3	11774.6		10841.1		9832.29																			200830	197089	188116	68241.7		34209					13439													84613	43180.8								
P49448	P49448	DHE4_HUMAN	GLUD2	Glutamate dehydrogenase 2, mitochondrial												9742.28				157332	1.07206e+06	418445	42132	22506	14884.6	8720.96	11326.3		32745.6	13296.2	9856.39		48535.5				175181																	107891	678685	187284							36403.7	20593.2								4.04039e+06
P49458	P49458	SRP09_HUMAN	SRP9	Signal recognition particle 9 kDa protein													41113.6	27483	19135.4	20655.6	21225.5		22435.5		16629.3	22862	18124	19337.7	21383.6	44420.2	61281.3	110466	243291	247010	302409															29067.7	50069.8	54125.9	40361.4	62365.4	22837.7			23118.6		41434.8	32518.9		31664.1	50038.6	100454	109380	190077	571269	250434			
P49459	P49459	UBE2A_HUMAN	UBE2A	Ubiquitin-conjugating enzyme E2 A															11132.2	9914.53	34911.1	263789	168761	175125	62006.3	57256.7	58310	31774.3	37247	22501.2		63806.9					76812.3														10962.9			15028.1	51054.7	62216	47364.5	57897.9		45115.9	39056.9		28049.3		34742.8	26007.1	41589.5					
P49585	P49585;Q9Y5K3	PCY1A_HUMAN	PCYT1A	Choline-phosphate cytidylyltransferase A																					11755	6279.35	8823.28	13966	10332.8																																											
P49588	P49588	SYAC_HUMAN	AARS1	Alanine--tRNA ligase, cytoplasmic													18899.7	9452.51	25387.6	77539.9	58471.4	37841.3	34532.9	21486.6	15814.5	12391.7	13511.9	11213.1	16219.5	21545.1	32677.2	22210.3	74702.6																			16927.5	28419.7	70916.1	77037.5		57084.7	43838.9		29529.1	23970.4		20897.9		16513.3		53370.9				91072.9	
P49589	P49589	SYCC_HUMAN	CARS1	Cysteine--tRNA ligase, cytoplasmic													43964.8	64068.7	94175.3	75975	59893.3	32547.8	35489.8		19991.6	36995.1	16487.7	14999.2	23606	21451.2	16916.7	43469.3																		22561.9	49415.8	61945.3	118008	110426	99890.6					33643	16180		28725.1	17257.6	35820.3	121667						
P49591	P49591	SYSC_HUMAN	SARS1	Serine--tRNA ligase, cytoplasmic			112550						21728.6					57405.2	86237.8	99377.2	28352.4	28369.3	20652				12201.9	5051.04																							8131.88	35450.3	109010	213266	39824.4								12672	20536.9		47705.6				151625		
P49642	P49642	PRI1_HUMAN	PRIM1	DNA primase small subunit		52880.9			1.22992e+06											45146.1	43940.5	26365.7	34379.9	29662.7	67236.1	72939.6	55048.5	50251.7	46051.1	46903.8	54790.4	33231.8	86020.2	75826.6																			194209							64507.8	50891.7		38793.8	35395.8	39585.6	52041.5						
P49643	P49643	PRI2_HUMAN	PRIM2	DNA primase large subunit																	12763.7	18426.2	106767	41592.3	89252.5	103480	84373.2	61371.8	68720.2	52690.3	48159.9	23376.2	14685.8				67031.9																		11606.6		59148.1			108987	79296.8		66744.7	71113.8	41387.9	64931.5					50065.4	
P49674	P49674	KC1E_HUMAN	CSNK1E	Casein kinase I isoform epsilon		40215.4								7006.43		14016.2	16198.6	13934.7		20573.4			23756.1		7785.64	10151.5	11020.2	18989.9	38120.4	55309	110268	93821.4	39691.7	58887.9																		26928.9	9545.47	16803.2						14568.2	25634.2		34227.5	82947.8	74671.6	68665.8	35894.9	91519				
P49711	P49711;Q8NI51	CTCF_HUMAN	CTCF	Transcriptional repressor CTCF																										42034.8	47821.6	188197	529788	703540	493557	190033																												17164.9	68325.4	153542	433150	459805	374832	129037		
P49720	P49720	PSB3_HUMAN	PSMB3	Proteasome subunit beta type-3													7952.32								6195.74		7300.93	75445.5	238659	267909	48700						793499														45650.1									4090.35	8140.93		307716	88471.1	79773.2	26193.6						
P49721	P49721	PSB2_HUMAN	PSMB2	Proteasome subunit beta type-2																		4242.55				3665.56	15499.6	152338	577709	748093	255959	97922.7	57503				97463.1	320006																						13923.7		1.40311e+06	601647	423157	276528	61870.7	33061.4					
P49736	P49736	MCM2_HUMAN	MCM2	DNA replication licensing factor MCM2		236709	166356	496709	315435	442888	487601	370226		141828		36228.3	25693		25450.9	19117.1	58815.4	163043	291178	150482	230688	294792	325325	334951	546076	2.87376e+06	4.18527e+06	1.9472e+06	841419	451170	304629	202544	518888	1.80478e+06										328002		49153.9		22128	38625.2		38970.5	86728.4	164350	153947		281470	231698	788370	380613	1.33461e+06	3.21761e+06	1.18735e+06	544646	292053	397982	186150	693282	487729
P49748	P49748	ACADV_HUMAN	ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial													18458					23453.5	75597.5	65324.7	39552.1	32071.8	25110.4	17092.7	13560.8	14034.1	14822.6																										124037	90392.6		52568.7	23523.2		23542.1	13281	59127.9	46364.3						
